,names,values
1177,Christina Ricci,0.0011111505135479474
2630,Aaron Taylor-Johnson,0.0011092721228290836
7489,Peter Mullan,0.0011058483784857605
10071,Stephen Warbeck,0.001105127095150727
6681,Joel Edgerton,0.0011050749041915052
6626,Miranda Richardson,0.0011050212492120632
14310,H.P. Lovecraft,0.001104222700390789
7521,Channing Tatum,0.0011025628526605904
6843,Emily Mortimer,0.0011015981537112762
12251,Chris Pine,0.001098017847924126
23,Paul Schrader,0.0010976967936902377
3077,Ving Rhames,0.0010975286403854514
4364,Michael Sheen,0.001097002108639437
9776,Kris Thykier,0.0010955913948781499
8515,Toby Jones,0.0010864850295592508
10023,Álvaro Augustin,0.001081667079977331
18600,Luis Tosar,0.0010805382034098135
85,Dan Aykroyd,0.0010798900370462454
3082,Eric Alan Edwards,0.001078146320641062
2751,Ellen Page,0.001077836371637676
3334,Sam Rockwell,0.001076821125796027
8668,Rosario Dawson,0.001076422689650715
2912,Malin Akerman,0.0010745828104079364
36037,Serkan Keskin,0.001073954054183067
10137,Yûsuke Iseya,0.0010736030909120223
19491,Nawazuddin Siddiqui,0.001073564287780846
5090,Laeta Kalogridis,0.001071976007227112
181,Faye Dunaway,0.0010708050413474187
2462,Juliette Lewis,0.0010655492469741408
6128,Mandy Patinkin,0.0010649369280421148
8305,Audrey Tautou,0.0010634610095917403
7778,Bill Conti,0.0010630424857717043
6627,Emily Watson,0.0010596151153186627
6687,Alex Gibney,0.0010581938832660625
2535,Dede Gardner,0.0010559586173936725
6304,Zbigniew Preisner,0.0010556063395464885
2905,Mark Canton,0.0010552002318471923
5445,Ang Lee,0.0010492100110905112
4558,James G. Robinson,0.0010480331001516876
2969,Anna Kendrick,0.0010429525902761545
25507,Kamal Haasan,0.0010419668823303018
36631,Rio Kanno,0.0010399700955131075
755,Kim Basinger,0.0010382123637270584
5793,Chris Bender,0.0010337447817096671
18859,Mercedes Gamero,0.001033281755215867
19648,Ricardo Darín,0.0010329909001697804
6714,James McAvoy,0.001032695327787621
29938,Kôji Shiraishi,0.001031679174029736
3884,Eric Roberts,0.001031206251917358
3007,Theodore Shapiro,0.0010309733771810986
4256,Sophie Marceau,0.0010306818216034117
7111,Amy Adams,0.001030306456376474
4141,Cary Elwes,0.001027605540232043
4733,Laura Dern,0.0010271355698170206
2880,Joan Cusack,0.0010269301096390497
4609,Michael Bay,0.0010255922706422288
6010,Samantha Morton,0.0010247568876165514
6106,Ueli Steiger,0.0010245375313946258
14510,Andy Lau,0.0010243855494437844
8365,Maryse Alberti,0.0010240942938358753
34498,Dong-Gun Jang,0.0010231824709402825
3053,John Morris,0.001021221934444844
4730,John Woo,0.0010181101242759702
47,Danny Huston,0.0010179626015008121
28839,Demet Evgar,0.0010177991218954555
